split,model,n,hit_at_10,majority_at_10,mean_same_at_10,weighted_same_at_10,buy_majority_at_10,hold_majority_at_10,sell_majority_at_10,buy_mean_same_at_10,hold_mean_same_at_10,sell_mean_same_at_10
val,fixed_only,174,0.9770114942528736,0.25862068965517243,3.5517241379310347,0.35517241379310344,0.05660377358490566,0.03571428571428571,0.44086021505376344,2.7735849056603774,2.7857142857142856,4.225806451612903
val,learned_only,174,0.9885057471264368,0.29310344827586204,3.718390804597701,0.37183908045977015,0.1509433962264151,0.03571428571428571,0.45161290322580644,3.4150943396226414,2.5714285714285716,4.236559139784946
val,recency_only,174,0.8218390804597702,0.5517241379310345,5.172413793103448,0.5172413793103449,0.33962264150943394,0.17857142857142858,0.7849462365591398,4.056603773584905,1.6785714285714286,6.860215053763441
val,learned_recency_50_50,174,0.8563218390804598,0.5,5.385057471264368,0.5385057471264368,0.2830188679245283,0.07142857142857142,0.7526881720430108,3.660377358490566,1.7142857142857142,7.473118279569892
val,fixed_recency_50_50,174,0.8275862068965517,0.5517241379310345,5.017241379310345,0.5017241379310344,0.3018867924528302,0.10714285714285714,0.8279569892473119,3.5849056603773586,1.6428571428571428,6.849462365591398
test,fixed_only,305,0.9770491803278688,0.28524590163934427,3.59344262295082,0.35934426229508193,0.2923076923076923,0.0,0.35766423357664234,3.623076923076923,2.0,4.007299270072993
test,learned_only,305,0.9901639344262295,0.33114754098360655,3.8065573770491805,0.380655737704918,0.36153846153846153,0.0,0.39416058394160586,4.046153846153846,1.9473684210526316,4.094890510948905
test,recency_only,305,0.9016393442622951,0.5409836065573771,5.4295081967213115,0.5429508196721311,0.6307692307692307,0.10526315789473684,0.5766423357664233,6.2384615384615385,1.7105263157894737,5.693430656934306
test,learned_recency_50_50,305,0.8721311475409836,0.47540983606557374,4.967213114754099,0.4967213114754098,0.5153846153846153,0.05263157894736842,0.5547445255474452,5.338461538461538,1.763157894736842,5.5036496350364965
test,fixed_recency_50_50,305,0.9016393442622951,0.5409836065573771,5.367213114754098,0.5367213114754098,0.6461538461538462,0.05263157894736842,0.5766423357664233,6.184615384615385,1.5,5.664233576642336
full_2018_now,fixed_only,2889,0.9570785739010038,0.41502249913464867,4.069920387677397,0.4069920387677397,0.4756756756756757,0.05263157894736842,0.4840103716508211,4.412355212355212,1.8009153318077804,4.543647363872083
full_2018_now,learned_only,2889,0.9584631360332295,0.411214953271028,4.056420906888197,0.4056420906888196,0.5181467181467182,0.04805491990846682,0.428694900605013,4.5544401544401545,1.794050343249428,4.353500432152117
full_2018_now,recency_only,2889,0.8566978193146417,0.5292488750432676,5.147802007615092,0.5147802007615092,0.6131274131274131,0.14645308924485126,0.5799481417458946,5.9706563706563704,2.203661327231121,5.3388072601555745
full_2018_now,learned_recency_50_50,2889,0.8584285219799238,0.5112495673243337,5.130494980962271,0.5130494980962271,0.5776061776061776,0.14645308924485126,0.57476231633535,5.781467181467182,2.3066361556064074,5.468452895419188
full_2018_now,fixed_recency_50_50,2889,0.9048113534094843,0.5195569401176878,4.938733125649014,0.49387331256490136,0.6023166023166023,0.13501144164759726,0.5721694036300777,5.675675675675675,2.279176201372998,5.118409680207433
