model,n_directional,mean_conf,mean_acc,overconf_gap,brier_score,ece,overconf_bins,total_active_bins
fixed_knn_test,247,0.8824,0.4372,0.4451,0.45946,0.44511,6,6
knn_returns_test,233,0.751,0.4378,0.3132,0.37547,0.31321,8,8
cem_rag_test,125,0.95,0.48,0.47,0.4705,0.47,1,1
cem_rag_full_test,125,0.95,0.48,0.47,0.4705,0.47,1,1
xgboost_test,334,0.5079,0.4012,0.1067,0.25202,0.10671,1,1
xgboost_price_only_test,334,0.5095,0.4521,0.0574,0.25168,0.05736,1,1
xgboost_event_only_test,334,0.5274,0.3982,0.1292,0.25653,0.13451,1,1
xgboost_no_event_test,334,0.5069,0.3832,0.1237,0.25212,0.12366,1,1
ablation_no_event_test,127,0.95,0.4961,0.4539,0.45604,0.45394,1,1
ablation_no_factor_test,121,0.9478,0.3719,0.5759,0.56863,0.58117,1,1
ablation_fixed_ret_test,130,0.95,0.4769,0.4731,0.47327,0.47308,1,1
ablation_no_policy_test,305,0.779,0.4852,0.2938,0.35758,0.29378,2,2
ablation_price_only_test,122,0.9455,0.3934,0.5521,0.54558,0.55208,1,1
