retriever,da,balanced_acc,macro_f1,mcc,coverage,sharpe,sortino,max_dd,hit_at_5,brier
always_hold,0.190164,0.063388,0.10652,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_direction,0.501639,0.446847,0.387419,0.078429,0.82623,0.031932,0.560354,-0.929688,0.0,0.0
rsi_momentum,0.190164,0.063388,0.10652,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sentiment_only,0.27541,0.32351,0.242036,-0.050831,0.403279,0.197648,-0.430923,-0.91514,0.0,0.0
baseline_fixed_knn,0.393443,0.43058,0.294242,0.024068,0.806557,-0.296973,-1.235278,-0.999958,0.928826,0.320392
learned_cem_rag,0.396721,0.404839,0.309037,0.035539,0.783607,-0.14329,-0.940793,-0.999482,0.953737,0.307147
xgboost_full,0.401198,0.282849,0.23095,-0.11809,1.0,-1.40664,0.0,0.0,0.0,0.0
xgboost_price_only,0.452096,0.343137,0.281733,0.028264,1.0,-0.472602,0.0,0.0,0.0,0.0
xgboost_event_only,0.398204,0.344039,0.18969,0.059063,1.0,-1.764236,0.0,0.0,0.0,0.0
xgboost_no_event,0.383234,0.264706,0.229077,-0.147834,1.0,-1.659115,0.0,0.0,0.0,0.0
buy_and_hold,0.406557,0.5,0.192696,0.0,1.0,-1.835902,-2.290623,-1.0,0.0,0.0
random_retrieval,0.796721,0.230574,0.204545,0.03718,0.419672,-0.407114,-0.340052,-0.957688,0.0,0.0
logistic_regression,0.35082,0.355431,0.220886,-0.05714,0.8,-2.087651,-2.319587,-0.999999,0.0,0.283616
random_forest,0.52459,0.511623,0.327283,0.181619,0.927869,0.704047,1.091548,-0.997822,0.0,0.255848
cem_rag_lr_fusion,0.406557,0.5,0.289044,0.0,1.0,-1.835902,-2.290623,-1.0,0.0,0.278072
cem_rag_rf_fusion,0.406557,0.5,0.289044,0.0,1.0,-1.835902,-2.290623,-1.0,0.0,0.273955
patchtst,0.576687,0.526666,0.486866,0.076022,0.534426,0.416554,0.432882,-0.938773,0.0,0.296921
