model,cost_bps,n,n_buy,n_sell,n_hold,coverage,buy_da,sell_da,directional_da,net_return_pct,sharpe,sortino,max_drawdown_pct
cem_rag_test,0.0,305,78,47,180,0.4098,0.3974,0.617,0.48,-80.202,-0.1988,-0.1725,-95.937
cem_rag_test,5.0,305,78,47,180,0.4098,0.3974,0.617,0.48,-81.426,-0.2155,-0.187,-96.108
cem_rag_test,10.0,305,78,47,180,0.4098,0.3974,0.617,0.48,-82.575,-0.2321,-0.2014,-96.272
cem_rag_test,20.0,305,78,47,180,0.4098,0.3974,0.617,0.48,-84.665,-0.2654,-0.2303,-96.58
fixed_knn_test,0.0,305,192,55,58,0.8098,0.401,0.5636,0.4372,-99.574,-0.7648,-0.9167,-99.967
fixed_knn_test,5.0,305,192,55,58,0.8098,0.401,0.5636,0.4372,-99.625,-0.7893,-0.946,-99.97
fixed_knn_test,10.0,305,192,55,58,0.8098,0.401,0.5636,0.4372,-99.67,-0.8138,-0.975,-99.972
fixed_knn_test,20.0,305,192,55,58,0.8098,0.401,0.5636,0.4372,-99.744,-0.8628,-1.0339,-99.977
knn_returns_test,0.0,305,183,50,72,0.7639,0.3989,0.58,0.4378,-99.485,-0.7349,-0.8654,-99.957
knn_returns_test,5.0,305,183,50,72,0.7639,0.3989,0.58,0.4378,-99.543,-0.7582,-0.8929,-99.96
knn_returns_test,10.0,305,183,50,72,0.7639,0.3989,0.58,0.4378,-99.595,-0.7814,-0.9195,-99.963
knn_returns_test,20.0,305,183,50,72,0.7639,0.3989,0.58,0.4378,-99.681,-0.8278,-0.9745,-99.969
xgboost_event_only_test,0.0,334,321,13,0,1.0,0.3863,0.6923,0.3982,-100.0,-1.7642,-2.3242,-100.0
xgboost_event_only_test,5.0,334,321,13,0,1.0,0.3863,0.6923,0.3982,-100.0,-1.7904,-2.3587,-100.0
xgboost_event_only_test,10.0,334,321,13,0,1.0,0.3863,0.6923,0.3982,-100.0,-1.8166,-2.3907,-100.0
xgboost_event_only_test,20.0,334,321,13,0,1.0,0.3863,0.6923,0.3982,-100.0,-1.8689,-2.4595,-100.0
xgboost_no_event_test,0.0,334,196,138,0,1.0,0.301,0.5,0.3832,-100.0,-1.6591,-2.3182,-100.0
xgboost_no_event_test,5.0,334,196,138,0,1.0,0.301,0.5,0.3832,-100.0,-1.6852,-2.3546,-100.0
xgboost_no_event_test,10.0,334,196,138,0,1.0,0.301,0.5,0.3832,-100.0,-1.7112,-2.3882,-100.0
xgboost_no_event_test,20.0,334,196,138,0,1.0,0.301,0.5,0.3832,-100.0,-1.7633,-2.4581,-100.0
xgboost_price_only_test,0.0,334,231,103,0,1.0,0.381,0.6117,0.4521,-99.635,-0.4726,-0.7057,-99.845
xgboost_price_only_test,5.0,334,231,103,0,1.0,0.381,0.6117,0.4521,-99.692,-0.4978,-0.7433,-99.863
xgboost_price_only_test,10.0,334,231,103,0,1.0,0.381,0.6117,0.4521,-99.741,-0.523,-0.7802,-99.878
xgboost_price_only_test,20.0,334,231,103,0,1.0,0.381,0.6117,0.4521,-99.816,-0.5733,-0.8553,-99.904
xgboost_test,0.0,334,220,114,0,1.0,0.3364,0.5263,0.4012,-99.999,-1.4066,-2.049,-99.999
xgboost_test,5.0,334,220,114,0,1.0,0.3364,0.5263,0.4012,-99.999,-1.4324,-2.0865,-99.999
xgboost_test,10.0,334,220,114,0,1.0,0.3364,0.5263,0.4012,-99.999,-1.4582,-2.1212,-100.0
xgboost_test,20.0,334,220,114,0,1.0,0.3364,0.5263,0.4012,-100.0,-1.5098,-2.1962,-100.0
