trial,seed,epoch,loss,val_hit_at_k,val_combined,val_ndcg_at_k,val_hybrid,best_hit_at_k,best_combined,best_ndcg_at_k,best_hybrid,stale,k,temperature,teacher_temperature,ridge,hard_negs,positive_count,selection_metric
final,42,5,3.47051078,0.97575758,0.32538795,0.32554047,0.52546421,0.97575758,0.32538795,0.32554047,0.52546421,0,5,0.10000000,0.10000000,0.01000000,8,3,hybrid
final,42,10,3.50045479,0.94545455,0.22901078,0.31528137,0.47214607,0.97575758,0.32538795,0.32554047,0.52546421,1,5,0.10000000,0.10000000,0.01000000,8,3,hybrid
final,42,15,3.46958781,0.90909091,0.29589432,0.30537214,0.50063323,0.97575758,0.32538795,0.32554047,0.52546421,2,5,0.10000000,0.10000000,0.01000000,8,3,hybrid
final,42,20,3.48877968,0.93333333,0.30099202,0.30381094,0.50240148,0.97575758,0.32538795,0.32554047,0.52546421,3,5,0.10000000,0.10000000,0.01000000,8,3,hybrid
final,43,5,3.48537501,0.98181818,0.38528885,0.34375946,0.56452416,0.98181818,0.38528885,0.34375946,0.56452416,0,5,0.10000000,0.10000000,0.01000000,8,3,hybrid
final,43,10,3.47005412,0.90303030,0.34594503,0.30483384,0.52538944,0.98181818,0.38528885,0.34375946,0.56452416,1,5,0.10000000,0.10000000,0.01000000,8,3,hybrid
final,43,15,3.50240747,0.97575758,0.32635076,0.31995474,0.52315275,0.98181818,0.38528885,0.34375946,0.56452416,2,5,0.10000000,0.10000000,0.01000000,8,3,hybrid
final,43,20,3.50087142,0.96363636,0.30743991,0.31175367,0.50959679,0.98181818,0.38528885,0.34375946,0.56452416,3,5,0.10000000,0.10000000,0.01000000,8,3,hybrid
final,44,5,3.48856519,0.92727273,0.34195476,0.28738155,0.51466815,0.92727273,0.34195476,0.28738155,0.51466815,0,5,0.10000000,0.10000000,0.01000000,8,3,hybrid
final,44,10,3.50224747,0.95757576,0.32243385,0.30168385,0.51205885,0.92727273,0.34195476,0.28738155,0.51466815,1,5,0.10000000,0.10000000,0.01000000,8,3,hybrid
final,44,15,3.48637799,0.92121212,0.29288452,0.30964977,0.50126714,0.92727273,0.34195476,0.28738155,0.51466815,2,5,0.10000000,0.10000000,0.01000000,8,3,hybrid
final,44,20,3.48675718,0.91515152,0.35207088,0.30935732,0.53071410,0.91515152,0.35207088,0.30935732,0.53071410,0,5,0.10000000,0.10000000,0.01000000,8,3,hybrid
final,45,5,3.49113385,0.90909091,0.27000018,0.29294844,0.48147431,0.90909091,0.27000018,0.29294844,0.48147431,0,5,0.10000000,0.10000000,0.01000000,8,3,hybrid
final,45,10,3.48376898,0.90909091,0.29089075,0.29690297,0.49389686,0.90909091,0.29089075,0.29690297,0.49389686,0,5,0.10000000,0.10000000,0.01000000,8,3,hybrid
final,45,15,3.49411463,0.94545455,0.38121512,0.32948612,0.55535062,0.94545455,0.38121512,0.32948612,0.55535062,0,5,0.10000000,0.10000000,0.01000000,8,3,hybrid
final,45,20,3.49666446,0.93939394,0.36803694,0.32783866,0.54793780,0.94545455,0.38121512,0.32948612,0.55535062,1,5,0.10000000,0.10000000,0.01000000,8,3,hybrid
final,46,5,3.48016105,0.93939394,0.24162346,0.30343538,0.47252942,0.93939394,0.24162346,0.30343538,0.47252942,0,5,0.10000000,0.10000000,0.01000000,8,3,hybrid
final,46,10,3.50552853,0.96969697,0.30907896,0.31799245,0.51353570,0.96969697,0.30907896,0.31799245,0.51353570,0,5,0.10000000,0.10000000,0.01000000,8,3,hybrid
final,46,15,3.49478846,0.92727273,0.37749447,0.31310801,0.54530124,0.92727273,0.37749447,0.31310801,0.54530124,0,5,0.10000000,0.10000000,0.01000000,8,3,hybrid
final,46,20,3.48835607,0.90303030,0.40426812,0.30789863,0.55608338,0.90303030,0.40426812,0.30789863,0.55608338,0,5,0.10000000,0.10000000,0.01000000,8,3,hybrid
