2026-04-20 21:14:09,875 | INFO | __main__ | Starting Crawler with poll_interval=60s
2026-04-20 21:14:09,875 | INFO | __main__ | Config: db_url=sqlite+aiosqlite:///crawler_coindesk.db, dedup=memory, fetch_content=True, sitemap_backfill=True, feeds=1
2026-04-20 21:14:09,989 | INFO | __main__ | Supabase sink enabled=True
2026-04-20 21:14:10,012 | INFO | __main__ | Cycle started
2026-04-20 21:14:10,479 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/arc/outboundfeeds/rss/ "HTTP/1.1 308 Permanent Redirect"
2026-04-20 21:14:10,582 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/arc/outboundfeeds/rss "HTTP/1.1 200 OK"
2026-04-20 21:14:10,597 | INFO | __main__ | Fetched RSS articles: 25
2026-04-20 21:14:10,597 | INFO | __main__ | Backfilling sitemap for source=CoinDesk
2026-04-20 21:14:10,919 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemap.xml "HTTP/1.1 404 Not Found"
2026-04-20 21:14:11,020 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemap_index.xml "HTTP/1.1 200 OK"
2026-04-20 21:14:11,610 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemap-index.xml "HTTP/1.1 200 OK"
2026-04-20 21:14:12,023 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/post-sitemap.xml "HTTP/1.1 200 OK"
2026-04-20 21:14:12,115 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/news-sitemap.xml "HTTP/1.1 200 OK"
2026-04-20 21:14:12,327 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/static-1.xml "HTTP/1.1 200 OK"
2026-04-20 21:14:12,764 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/articles-1.xml "HTTP/1.1 200 OK"
2026-04-20 21:14:14,491 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/articles-2.xml "HTTP/1.1 200 OK"
2026-04-20 21:14:16,118 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/articles-3.xml "HTTP/1.1 200 OK"
2026-04-20 21:14:17,933 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/articles-4.xml "HTTP/1.1 200 OK"
2026-04-20 21:14:19,469 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/articles-5.xml "HTTP/1.1 200 OK"
2026-04-20 21:14:21,386 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/articles-6.xml "HTTP/1.1 200 OK"
2026-04-20 21:14:23,024 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/articles-7.xml "HTTP/1.1 200 OK"
2026-04-20 21:14:25,126 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/articles-8.xml "HTTP/1.1 200 OK"
2026-04-20 21:14:26,536 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/articles-9.xml "HTTP/1.1 200 OK"
2026-04-20 21:14:28,111 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/articles-10.xml "HTTP/1.1 200 OK"
2026-04-20 21:14:29,909 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/articles-11.xml "HTTP/1.1 200 OK"
2026-04-20 21:14:31,502 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/articles-12.xml "HTTP/1.1 200 OK"
2026-04-20 21:14:33,616 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/articles-13.xml "HTTP/1.1 200 OK"
2026-04-20 21:14:35,504 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/articles-14.xml "HTTP/1.1 200 OK"
2026-04-20 21:14:37,139 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/articles-15.xml "HTTP/1.1 200 OK"
2026-04-20 21:14:38,670 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/articles-16.xml "HTTP/1.1 200 OK"
2026-04-20 21:14:40,482 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/articles-17.xml "HTTP/1.1 200 OK"
2026-04-20 21:14:41,893 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/articles-18.xml "HTTP/1.1 200 OK"
2026-04-20 21:14:43,692 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/articles-19.xml "HTTP/1.1 200 OK"
2026-04-20 21:14:45,351 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/crypto-1.xml "HTTP/1.1 200 OK"
2026-04-20 21:14:46,026 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/crypto-2.xml "HTTP/1.1 200 OK"
2026-04-20 21:14:46,867 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/crypto-3.xml "HTTP/1.1 200 OK"
2026-04-20 21:14:47,747 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/crypto-4.xml "HTTP/1.1 200 OK"
2026-04-20 21:14:48,609 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/crypto-5.xml "HTTP/1.1 200 OK"
2026-04-20 21:14:49,477 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/crypto-6.xml "HTTP/1.1 200 OK"
2026-04-20 21:14:50,276 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/crypto-7.xml "HTTP/1.1 200 OK"
2026-04-20 21:14:51,089 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/crypto-8.xml "HTTP/1.1 200 OK"
2026-04-20 21:14:51,890 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/crypto-9.xml "HTTP/1.1 200 OK"
2026-04-20 21:14:52,803 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/crypto-10.xml "HTTP/1.1 200 OK"
2026-04-20 21:14:53,614 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/crypto-11.xml "HTTP/1.1 200 OK"
2026-04-20 21:14:54,465 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/crypto-12.xml "HTTP/1.1 200 OK"
2026-04-20 21:14:55,437 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/crypto-13.xml "HTTP/1.1 200 OK"
2026-04-20 21:14:56,247 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/crypto-14.xml "HTTP/1.1 200 OK"
2026-04-20 21:14:57,043 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/crypto-15.xml "HTTP/1.1 200 OK"
2026-04-20 21:14:57,852 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/crypto-16.xml "HTTP/1.1 200 OK"
2026-04-20 21:14:58,643 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/crypto-17.xml "HTTP/1.1 200 OK"
2026-04-20 21:14:59,451 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/crypto-18.xml "HTTP/1.1 200 OK"
2026-04-20 21:15:00,414 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/crypto-19.xml "HTTP/1.1 200 OK"
2026-04-20 21:15:01,156 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/crypto-20.xml "HTTP/1.1 200 OK"
2026-04-20 21:15:01,965 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/crypto-21.xml "HTTP/1.1 200 OK"
2026-04-20 21:15:02,804 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/crypto-22.xml "HTTP/1.1 200 OK"
2026-04-20 21:15:03,457 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/crypto-23.xml "HTTP/1.1 200 OK"
2026-04-20 21:15:04,385 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/crypto-24.xml "HTTP/1.1 200 OK"
2026-04-20 21:15:05,078 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/crypto-25.xml "HTTP/1.1 200 OK"
2026-04-20 21:15:05,765 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/crypto-26.xml "HTTP/1.1 200 OK"
2026-04-20 21:15:06,651 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/crypto-27.xml "HTTP/1.1 200 OK"
2026-04-20 21:15:07,644 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/crypto-28.xml "HTTP/1.1 200 OK"
2026-04-20 21:15:08,657 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/crypto-29.xml "HTTP/1.1 200 OK"
2026-04-20 21:15:09,749 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/crypto-30.xml "HTTP/1.1 200 OK"
2026-04-20 21:15:10,809 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/crypto-31.xml "HTTP/1.1 200 OK"
2026-04-20 21:15:12,001 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/crypto-32.xml "HTTP/1.1 200 OK"
2026-04-20 21:15:13,116 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/crypto-33.xml "HTTP/1.1 200 OK"
2026-04-20 21:15:14,355 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/crypto-34.xml "HTTP/1.1 200 OK"
2026-04-20 21:15:15,521 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/crypto-35.xml "HTTP/1.1 200 OK"
2026-04-20 21:15:16,874 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/crypto-36.xml "HTTP/1.1 200 OK"
2026-04-20 21:15:18,245 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/crypto-37.xml "HTTP/1.1 200 OK"
2026-04-20 21:15:19,563 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/crypto-38.xml "HTTP/1.1 200 OK"
2026-04-20 21:15:20,932 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/crypto-39.xml "HTTP/1.1 200 OK"
2026-04-20 21:15:22,335 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/crypto-40.xml "HTTP/1.1 200 OK"
2026-04-20 21:15:23,732 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/crypto-41.xml "HTTP/1.1 200 OK"
2026-04-20 21:15:25,103 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/authors-1.xml "HTTP/1.1 200 OK"
2026-04-20 21:15:26,172 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/episodes-1.xml "HTTP/1.1 200 OK"
2026-04-20 21:15:27,398 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/episodes-2.xml "HTTP/1.1 200 OK"
2026-04-20 21:15:28,851 | INFO | httpx | HTTP Request: GET https://www.coindesk.com/sitemaps/episodes-3.xml "HTTP/1.1 200 OK"
